_id,en_word,en_definition,example,synonyms,antonyms
6360,boil ," n 1 soh, soter. 2 (idm) be on the boil so rero. bring sth to the boil a so tiang sat: Bring the mixture to the boil, then let it simmer for ten minutes. come to the boil so a thok. off the boil so a cawl: (fig infml) He began by playing brilliantly but he’s rather gone off the boil (ie has begun playing less well) in the last few minutes. boiling adj = boiling hot: You must be boiling in that big sweater.",NA,NA,NA
6362,boiled sweet ," cithlum, mithai.",NA,NA,NA
6369,boiling hot , (infml) thaw a saa tuk: a boiling hot day.,NA,NA,NA
6371,boiling-point , n 1 ti a so nak ri; so-nak ri. 2 (infml) thinlung mi a hninternak zawn: The match has reached boiling-point.,NA,NA,NA
6372,boiler , n 1 ti soh-nak ih hmanmi pung tumpi. 2 tiso khawlnak kuang tumpi. 3 hnipuan baal soh-nak pungpi. Cf copper1 3.,NA,NA,NA
6373,boiler suit , hnatuannak hnipuan (kor le bawngbi). Cf overall.,NA,NA,NA
6375,boisterous , adj 1 (of people or behaviour) nuam aw ih awn tam ruri mi: a boisterous party ¡ The children are very boisterous today. 2 (of the wind or sea) (thlisia tilet) a tho.   boisterously adv. boisterousness n [U]. ,NA,NA,NA
6376,bold ," adj 1 raltha; ngam zet: a bold warrior ¡ bold plans, tactics, etc ¡ a bold scheme to rebuild the city centre. 2 (dated) zah nei lo: She waited for him to invite her to dance, not wishing to seem bold. 3 a fiang zetmi: the bold outline of a mountain against the sky ¡ bold, legible handwriting ¡ She paints with bold strokes of the brush. 4 a sah ih a lang zet mi: The headwords in this dictionary are in bold type. 5 (idm) (as) bold as brass mi ziang siarlo: He walked in, bold as brass, and asked me to lend him £50! be/make so bold (as to do sth) (fml) ngam, ti ngam, tuah ngam, hmaisong um loin: One student made so bold as to argue with the professor. put on, show, etc a bold front (thinlung tak thup a duh ruangah) ngamter aw zet, lungawiter aw zet.   boldly adv. boldness n [U].",NA,NA,NA
6377,bole , n thing ih a kungpi.,NA,NA,NA
6379,bolero , n (pl ~s) 1 /bE{leErEU/ Spain miphun pawlih laamnak hla phunkhat. 2 /{bBlErEU/ nunau tangthen kor (jacket tawi).,NA,NA,NA
6381,boll , n patpar tuamtu a hawng.,NA,NA,NA
6383,boll-weevil , n patpar nget (patpar mu ei theutu).,NA,NA,NA
6385,bollard ," n 1 lawng zial parih phunmi thuam bul (hridai khihnak), leilung ih phunmi lawng hridai khihnak thuam. 2 lawng khihnak thuam tawite.",NA,NA,NA
6387,"bollocks = ballocks, ", tilmu; thulolak. ,NA,NA,NA
6392,boloney (also baloney) , n [U] (infml) thulolak: Don’t talk boloney!,NA,NA,NA
6395,Bolshevik , n 1 1917 kum ih Russia dodalnak tha petu Socialist sungtel. 2 (infml derog) socialist luarkai. Bolshevism /{bBlSEvIzEm/ n [U]. Bolshevist / {bBlSEvIst/ n.,NA,NA,NA
6397,bolshie (also bolshy) ," adj (- ier, - iest) (Brit infml derog) dodal duh; thu ngai duh lo; lungruh: be in a bolshie mood ¡ be bolshie about sth.",NA,NA,NA
6398,bolster , n lukham zawl saupi; cingkham zawl saupi.,NA,NA,NA
6403,bolster ," v [Tn, Tn•p] ~ sb/sth (up) rak bawm; thazaang rak pe, thazaang cakter, khohter: bolster sb’s morale/courage ¡ It bolstered my belief that… ¡ The government borrowed money to bolster up the economy.",NA,NA,NA
6407,bolt1 ," n 1 inn kalh; hren; sangka kalh-nak, sangka hren (thir hren). 2 muli, cavui. 3 thal. 4 nimthla kau. 5 puan zual sawl. 6 (idm) a bolt from the blue rinlopi ih cangmi: The news of his death was (like) a bolt from the blue. the nuts and bolts _ nut. shoot one’s bolt _ shoot1.",NA,NA,NA
6408,bolt ," v 1 [I, Tn] kalh, hren: The gate bolts on the inside. ¡ Remember to bolt all the doors and windows. 2 (phr v) bolt sb in/out lut/suak theilo ih hren/tuah. bolt A to B; bolt A and B (together) muli, cavui thawn hrengkhawm: The vice is bolted to the work-bench. ¡ The various parts of the car are bolted together.",NA,NA,NA
6412,bolt2 ," v 1 [I] (a) rinlopi ih tlanduak: The horse bolted in terror at the sound of the gun. (b) (milai) tlanhlo: When the police arrived the burglars bolted. 2 [Tn Tn•p] ~ sth (down) zamrang zetin dolh (rawl): Don’t bolt your food — you’ll get indigestion! 3 [I] (rawl kungpawl) qhan a reh. 4 (idm) lock, etc the stable door after the horse has bolted _ stable2.",NA,NA,NA
6415,bolt ," n 1 [sing] tlanhruak. 2 (idm) make a bolt/ dash/run for it luatsuak tum, thlenghruak tum: When the police arrived they made a bolt for it/ for the door.",NA,NA,NA
6418,bolt-hole , n luat suahnak kua/ong.,NA,NA,NA
6421,bolt3 ," adv (idm) bolt upright a tungzawng, dingzet in: sit bolt upright.",NA,NA,NA
6422,bomb ," n 1 [C] (a puak kuai theimi) bomb: Enemy aircraft dropped bombs on the city. ¡ Terrorists placed a 50-pound bomb in the railway station. 2 [C] thil pakhat khat ih benmi puak thei bomb: a letter-bomb ¡ a parcel/car bomb. 3 the bomb [sing] atom, lole, hydrogen bomb: Anti-nuclear organizations want to ban the bomb. 4 a bomb [sing] (infml) tangka tampi: That dress must have cost (her) a bomb! ¡ Some company directors make (ie earn) an absolute bomb. 5 (idm) go like a bomb (infml) zamrang zet in feh: My new car goes like a bomb. (b) hlawhtling zet: Last night’s party went like a bomb. ¡ My new novel is going like a bomb.",NA,NA,NA
6424,bomb ," v 1 [Tn] bomb thlaak; bomb thawn kap: London was heavily bombed during the last war. ¡ Terrorists bombed several police stations. 2 (phr v) bomb along, down, up, etc (Brit infml) khulrang zet in feh: bombing down the motorway at ninety miles per hour. bomb sb out (esp passive) bomb thlaak ruangah inn loih um: Our parents were bombed out twice during the war.",NA,NA,NA
6429,bomb-bay , n vanzamleng parih bomb retnak hmun.,NA,NA,NA
6430,bomb-disposal , n [U] a puak hrih lomi bomb ziandawng lak ih hlon.,NA,NA,NA
6432,bomb-proof , adj bomb ih hlen thei lo; bomb beunak hmun: a bomb-proof shelter.,NA,NA,NA
6435,bomb-sight , n bomb thlak tikih bihnak thil.,NA,NA,NA
6436,bomb-site , n bomb tlaknak hmunhma pawl. ,NA,NA,NA
6439,bombard ," v [Tn, Tn•pr] bomb thlak; bomb thawn kap: Enemy positions were bombarded before our infantry attacked. (b) (fig) thu sut ciamco: Reporters bombarded the President with çuestions about his economic policy. 2 (physics) khulvai cak zet ih fehter.   bombardment n [C, U].",NA,NA,NA
6441,bombardier , n 1 (Brit) senthum tang pukpi ralkap. 2 (US) vanzamleng sung ihsin bomb rak thlatu ralkap.,NA,NA,NA
6443,bombast , n [U] tican nei lem lo qongfang: His speech was full of bombast.,NA,NA,NA
6444,bombastic , adj tican/sullam nei lomi (qong). bombastically /-klI/ adv.,NA,NA,NA
6447,bomber , n 1 bomb thlatu vanzamleng. 2 bomb kamtu/bomb ih mi dengtu. ,NA,NA,NA
6452,bombshell , n (infml) thinlaunak; rinlopi ih cangmi thil: The news of his death was a bombshell.,NA,NA,NA
6453,bona fide ," adj [esp attrib], adv a dikmi; bum um lo upadi daan vekin: a bona fide agreement/contract/deal.",NA,NA,NA
6467,bona fides , n (law) tumtahnak dik: establish one’s bona fides.,NA,NA,NA
6473,bonanza ," n 1 bawngmal; rinlopi ngah mi vanqhatnak; a hlawk tam ngahnak: [attrib] It’s been a bonanza (ie very profitable) year for the tourist trade. 2 (US) sui, ngun, le zinan pawl suak luailo nak.",NA,NA,NA
6475,bon-bon ," n mithai, cini hluum.",NA,NA,NA
6476,bond ," n 1 [C] (a) thutiam (ca thawn tuahmi): We entered into a solemn bond. (b) hmin nganmi cuvek cakhen. 2 [C] kumpi in, lole, kampani in tangka kan cawi ih a thang thawn kan rulsal ding ti cakhen: National Savings bonds Government bonds. 3 [C] milai le milai awk-kaitu: the bonds of friendship/affection ¡ The trade agreement helped to strengthen the bonds between the two countries. 4 [sing] awkkaihnak, koptu, kop-awknak: This glue makes a good firm bond. 5 bonds [pl] thawngto hrennak, khihnak cikcin/thirhri: (fig) the bonds of oppression, tyranny, injustice, etc. 6 (idm) in/out of bond (commerce) siah (ngun khuai) pek hlan sung thil retnak (godown) ihsin thilri suah/suah lo: place goods in/take goods out of bond. sb’s word is as good as his bond _ word.",NA,NA,NA
6478,bond ," v 1 [Tn] siah (ngunkhuai) pek hlan sung thil retnak (godown) ah re: bonded whisky, cigarettes, etc. 2 [Tn, Tn•pr, Tn•p] ~ A and B (together); ~ A to B kopter; ben-aw ter: You need a strong adhesive to bond wood to metal.",NA,NA,NA
6480,bonded warehouse , siah (akhun) pek hlan sung thilri retnak inn (dustom godown).,NA,NA,NA
6482,bondage , n [U] (dated or fml) sal tannak; sal sinak: keep sb in bondage.,NA,NA,NA
6483,bone ," n 1 [C] ruh (milai, ramsa ruh): This fish has a lot of bones in it. ¡ I’ve broken a bone in my arm. ¡ Her bones were laid to rest, ie Her body was buried. 2 [U] ruh thawn tuahmi: Buttons are sometimes made of bone. 3 [C] kor hngawng khauhter duh ruangih hrolhmi thil khauh. 4 (idm) a bag of bones _ bag1. the bare bones _ bare1. a bone of contention lungkim lonak thu: The border has always been a bone of contention between these two countries. chill sb to the bone/marrow _ chill. close to/near the bone (infml) (a) langhngan tuk ih thil dik sim: Some of his comments about her appearance were a bit close to the bone. (b) mi thinlung tong thei: Some scenes in the play are rather near the bone. cut, pare, etc sth to the bone qhum nasa, malter: Train services have been cut to the bone. ¡ Our budget has been pared to the bone. dry as a bone _ dry1. feel in one’s bones _ feel1. have a bone to pick with sb tawh-awk ding nei, haut-awk ding nei: I’ve got a bone to pick with you. Where’s the money I lent you last week? make no bones about (doing) sth sup lo, lungsung um hmuah sim: He made no bones about his extreme left-wing views. ¡ She made no bones about telling her husband she wanted a divorce. skin and bone _ skin. work one’s fingers to the bone _ finger.",NA,NA,NA
6492,bone ," v 1 [Tn] a ruh laak theh: bone a fish, a chicken, a piece of beef, etc. 2 (phr v) bone up on (sth) (infml) zir nasa (tumtahmi pakhat nei in): I must bone up on my French before we go to Paris. -boned (adj thawn hmantlang a si), eg ruh-fate nei, ruh-tumpi nei: small-boned ¡ large-boned.",NA,NA,NA
6496,bone china , (ruhvut thawn) cok ih tuahmi kheeng.,NA,NA,NA
6498,bone-dry , adj [usu pred] caar remrem (ruh vekin).,NA,NA,NA
6502,bone idle , (derog) zaangzel tawp. ,NA,NA,NA
6504,bone-meal , n [U] dawm dingih rialdip mi sa ruhphut.,NA,NA,NA
6507,bone-shaker ," n (infml joc) a fek lomi le to nuam lo (saikal, lole, mawtawka hlunpi).",NA,NA,NA
6508,bonehead , n (infml derog) mi aa; mi fim lo.,NA,NA,NA
6509,boner , n (US infml) aat-thil-qhelh; aat-thil-sual; aat ruangih tuah sual/ti sual mi.,NA,NA,NA
6510,bonfire , n meipual (a lenglam ih tihmi meipi): We made a bonfire of dead leaves in the garden.,NA,NA,NA
6517,Bonfire Night , (in Britain) Gunpowder Plot (zian thawn puahkuai phiarnak) tuahsuak loih um zan hminsinnak ih tuahmi November ni 5 zan puai.,NA,NA,NA
6518,bongo ," n (pl ~s, or ~es) khuang fate phunkhat.",NA,NA,NA
6521,bonhomie , n [U] (French) lungawi soparnak.,NA,NA,NA
6522,bonkers ," adj [pred] (Brit sl) aa, hruut: You’re stark raving bonkers!",NA,NA,NA
6524,bon mot ," n (pl bons mots) /}bBn {mEUz/ (French) zer tong, depde tong.",NA,NA,NA
6525,bonnet , n 1 hridai thawn khaa ih qemcih mi nunau lukhuh. 2 (in Scotland) thlazap nei lo mipa lukhuh. 3 (US hood) inzin tlun khuh (mawqawka bawnet).  4 (idm) have a bee in one’s bonnet _ bee1.,NA,NA,NA
6527,bonny ," adj (-ier, -iest) (approve esp Scot) a mawi, a piang, duh nung: a bonny lass/baby.  bonnily adv.",NA,NA,NA
6528,bonus ," n (pl ~es) 1 ngah dingmi zat hnakih a hlei pekmi tangka; zuam-man laksawng: a productivity bonus, ie money added to wages when workers produce more goods, etc Company employees received a £25 Christmas bonus. 2 zum hnak ih a tam sawn/qha sawn mi thil: The warm weather in winter has been a real bonus.",NA,NA,NA
6529,bony ," adj (-ier, -iest) 1 ruh vek. 2 ruh tam: This fish is very bony. 3 qawl tukah ruh lawng lang: bony fingers ¡ a tall bony man. ð Usage at thin.",NA,NA,NA
6536,boo ," interj, n 1 lungkim lo theihternak awn-au, “buu” timi aw: The Prime Minister’s speech was greeted with boos and jeers. 2 mangbang le mi qhih tikih hmanmi qong. 3 (idm) not say boo to a goose _ say.",NA,NA,NA
6538,boo ," v 1 [I, Tn] au-hnawh: You can hear the crowd booing. 2 (phr v) boo sb off (sth) ‘buu’ ti ih au-hnawh ih mi dawi: The actors were booed off the stage.",NA,NA,NA
6540,boob1 , (also booboo /{bu:bu:/) n (infml) aat palh ih palhmi.,NA,NA,NA
6544,boob ," v [I] ‘buu’ ti ih au: Oh dear, I’ve boobed again.",NA,NA,NA
6548,boob2 , n (? sl) (usu pl) nunau hnawi. booby /{bu:bI/ n (dated derog) mi aa: He is a great booby!,NA,NA,NA
6550,booby prize ," (also wooden spoon) leh zuamnak ah netabik ngahtu (capo ih) pekmi laksawng (thing hai, thing keu).",NA,NA,NA
6551,booby trap 1 ," mi lauter dingah a thupte ih ret mi thang (sangka ong hmaisa biktu lu parah thil tla seh ti ih rak ret sak tivek). 2 mine bomb kam mi: The police did not go near the abandoned car, fearing it was a booby trap. ¡ [atttrib] a booby-trap bomb. booby-trap v (-pp-) [Tn] bomb thang kam: The car had been booby-trapped by terrorists.",NA,NA,NA
6554,boodle ," n [U] (sl esp US) tangka, firmi, eithup mi tangka.",NA,NA,NA
6555,boogie , (also boogie-woogie / {wu:gI; US {wUgI/) n [U] piano thawn tummi blues hla phunkhat: play boogie ¡ [attrib] a boogie beat.,NA,NA,NA
6557,book1 ," n 1 [C] (a) cabu: a leather-bound book. (b) thuhla nganmi cabu: writing/reading a book about/on Shakespeare. 2 [C] ziangkhal ngan hrihlo mi cahnah qhitkhawm mi: Write the essay in your (exercise-) book, not on rough paper. 3 books [pl] tangka cazin: do the books, ie check the accounts ¡ The company’s books are audited every year. 4 [C] cabu vekih qhitmi a bangaw mi thil: a book of stamps/tickets/matches. 5 [C] cabu sahpi bu-qhen: the books of the Bible. 6 [sing] opara, hlasaknak ih hmanmi qong. 7 [C] rang tlanzuamnak ih tangka thapnak: keep/make/ open a book (on sth), ie take bets (on a match, race, etc). 8 the book [sing] telephone nambat cabu: Are you in the book? 9 (idm) be in sb’s good/bad books (infml) mi ih mithmai qha ngah/ ngah lo: You’ll be in the boss’s bad books if you don’t work harder. bring sb to book (for sth) amah ih nuncan simfiangter: bring a criminal to book. by the book (infml) daan vek rori: He’s always careful to do things by the book. a closed book _ close4. cook the books _ cook. every/ any trick in the book _ trick. (be) on the books of sth bawlung pawlkom (club) in lek dingah hlaang: He’s on Everton’s books. an open book  open1. read sb like a book _ read. suit one’s/ sb’s books _ suit2. take a leaf out of sb’s book  leaf. throw the book at sb (infml) tuah daan vekih thil tuah dingah hrang zet in sim.",NA,NA,NA
6561,bookbinder ," [C], cabu thitu. bookbinding [U] ns cabu thit. ",NA,NA,NA
6567,bookcase , n cabu retnak kuang fate.,NA,NA,NA
6573,book club , cabu pawlkom — cabu man olte teih zorh awknak pawlkom.,NA,NA,NA
6574,book-end , n (usu pl) cabu domnak thil. ,NA,NA,NA
6575,bookkeeper , [U] ns dawr tuahnak cazin tuahtu. ,NA,NA,NA
6576,bookmaker," [C], bookmaking [U] ns rang tlanzuamnak ih tangka kam awk tawlreltu.",NA,NA,NA
6580,bookmobile , n (esp US) ca siarnak khaan um khaw khat hnu khaw khat a feh vivomi mawtawka tivek.,NA,NA,NA
6582,book-plate , n cabu neitu hmin telmi cahnah fate — cabu parih ben dingmi.,NA,NA,NA
6584,bookseller , n cabu zuartu.,NA,NA,NA
6588,bookshop," n cabu dawr. bookstall n (US news-stand) cabu, thuthang ca pawl zuar hmun, cabu theng (donhlei). book token cabu thawn thleng theih cangan mi cahnah fate: a £10 book token.",NA,NA,NA
6589,bookworm , n 1 cahnah eitu nget. 2 (fig) ca siar paih zettu: She’s a bit of a bookworm.,NA,NA,NA
6591,book2 ," v 1 (a) [I, Tn, Tn•pr] ~ sth (up) umnak hamcia; tiket leicia: Book early if you want to be sure of a seat. ¡ book a hotel room, a seat on a plane ¡ I’d like to book three seats for tonight’s concert. ¡ The hotel/performance is fully booked (up), ie There are no more rooms/ tickets available. (b) [Tn•pr] ~ sb on sth vanzam tiket tivek rak ham/lei sak cia: We’re booked on the next flight. (c) [Tn] pakhat khat tuahter dingah rak fial/ham cia: We’ve booked a conjuror for our Christmas party. 2 [Tn] (infml) thilsual tuah ruangih hminkhum: The police booked me for speeding. ¡ He was booked by the referee for foul play. 3 (phr v) book in ham cia. book sb in hmun/riahnak rak ham sak cia: We’ve booked you in at the Plaza for two nights.",NA,NA,NA
6595,bookable , adj rak ham cia theih: All seats are bookable in advance.,NA,NA,NA
6602,booking ," n [C, U] (esp Brit) tonak/umnak hamcia, tiket rak lei cia: a block booking ¡ We can’t accept any more bookings. ¡ She’s in charge of booking(s). ",NA,NA,NA
6603,booking-clerk , n (esp Brit) tiket zuartu (tlangleng vanzam tiket). ,NA,NA,NA
6612,booking-office , n (esp Brit) tiket zuarnak zung.,NA,NA,NA
6613,bookie , n (infml) = bookmaker (book1).,NA,NA,NA
6622,bookish , adj 1 ca siar zuam ringring: She was always a bookish child. 2 thuhla thei zet (ca siar tam ruangah).   bookishness n [U].,NA,NA,NA
6624,booklet , n cabu pa te (a phaw sah lo). ,NA,NA,NA
6626,boom1 ," v 1 [I, Ip] thang ruangro (aw): waves booming on the seashore ¡ We could hear the enemy guns booming (away) in the distance. ¡ The headmaster’s voice boomed (out) across the playground. 2 [I, Ip, Tn, Tn•p] ~ (sth) (out) ring zet in qong: ‘Get out of my sight!’ he boomed.",NA,NA,NA
6627,boom ," n (usu sing) aw thawng, aw khawk: the boom of the guns, the surf.",NA,NA,NA
6628,boom2 ," n karhzai qhangsoh ciamconak (milai, sumdawng, etc): The oil market is enjoying a boom. ¡ [attrib] a boom year (for trade, exports, etc).",NA,NA,NA
6630,boom ," v [I] a hlawk, a thangso: Business is booming.",NA,NA,NA
6633,boom town , sum le saw a thangso mi khua.,NA,NA,NA
6636,boom3 , n 1 lawngzial khaptu thingtluan sau.  2 (also derrick boom) thil suahnak le sannak ih hmanmi crane ih retmi thing pum saupi. 3 (a) ral lawng pawl khamnak thir cikcin. (b) thingtum pawl rak khamtu thingih tuahmi tikhawkkham. 4 maikrofon retnak ban: [attrib] a boom microphone.,NA,NA,NA
6646,boomerang ," n 1 Australia ram hlumtu pawlih hmanmi sa kahnak thingkawn (a bahmi a ngah lole a kaptu hnenah a kirsal thei). 2 (fig) mah tuahmi, qongmi, ruangah rinlopi in mah lala siatnak: [attrib] a boomerang effect.",NA,NA,NA
6647,boomerang ," v [I, Ipr] boomerang vekih kir: The candidate’s attempt to discredit his opponent boomeranged (on him) when he was charged with libel.",NA,NA,NA
6654,boon1 , n 1 (dated) dilmi; hmuifu: ask a boon of sb ¡ grant a boon. 2 a qhahnem mi thil: Parks are a great boon to people in big cities. ¡ A warm coat is a real boon in cold weather.,NA,NA,NA
6662,boon2 , adj (idm) a boon companion komnuam rualpi: Bill and Bob are boon companions.,NA,NA,NA
6664,boor ," n (derog) khawruah nei lo, fim lo, mi taw-lol; mi awhro sia: Don’t be such a boor!",NA,NA,NA
6667,boorish ," adj cuvek a simi, fimlo: boorish youths, behaviour, remarks. boorishly adv. boorishness n [U].",NA,NA,NA
6669,boost ," v [Tn] thazaang bet, tha pek bet; cawisang: boost an electric current ¡ boost imports, share prices, the dollar, etc ¡ boost production ¡ The unexpected win boosted the team’s morale.",NA,NA,NA
6676,boost ," n thapek; cawisannak: a boost in sales, exports, etc ¡ give sb’s confidence a boost. ",NA,NA,NA
6690,booster ," n 1 thapetu, cawisangtu. 2 electric tha bettu. 3 (also booster rocket) vanleeng zam pawl khul a rangtertu rocket. 4 hmaisa ih sunmi sii hmual neitertu a dang sii.",NA,NA,NA
6691,boot1 ," n 1 but kedan (ke a tuam qhehmi): a pair of football boots ¡ tough boots for walking. Cf sandal, shoe 1. 2 (usu sing) (infml) sit: He gave the ball a tremendous boot. 3 (Brit) (US trunk) mawqawka dunglam thil retnak: Put the luggage in the boot. 4 (idm) be/get too big for one’s boots _ big. the boot is on the other foot thil umdaan a linglet. die with one’s boots on _ die2. give sb/get the boot (infml) hnaquan ihsin dawi: If you’re late once more you’re getting the boot. have one’s heart in one’s boots _ heart. lick sb’s boots _ lick. put the boot in (infml esp Brit) nasazet in siit; zaangfah nei lomi. tough as old boots _ tough.",NA,NA,NA
6696,boot ," v 1 [Tn, Tn•pr, Tn•p] sit (ke thawi’ sit): boot a ball (about) ¡ boot sb in the face. 2 [I, Ip, Tn, Tn•p] ~ (sth) (up) (computing) kompeuqa thluak sungah program than sak. 3 (phr v) boot sb out (of sth) (infml) (a) hramhram in lenglam ah suah: His father booted him out of the house. (b) hnaquan dawi.",NA,NA,NA
6701,bootlace , n kedan hri.,NA,NA,NA
6705,bootstrap , n (idm) pull oneself up by one’s bootstraps _ pull2.,NA,NA,NA
6706,boot2 ," n (idm) to boot (arch or joc) hlei ah; tlun ah: She’s an attractive woman, and wealthy to boot.",NA,NA,NA
6710,bootee , n 1 naute sahmul kedan. 2 nunau sahmul kedan tawi.,NA,NA,NA
6716,booth ," n 1 bazaar ih a laangte thilri zuarnak thingkhandaang (cabuai). 2 inn fate: a telephone booth, ie for a public telephone ¡ a polling booth, ie for voting at elections. ",NA,NA,NA
6718,bootleg , v (-gg-) [Tn] 1 zureu thup te’n zuar. 2 khammi lei le zuar. ð Usage at smuggle.,NA,NA,NA
6719,bootleg ," adj [attrib] (a hleice in zu) a thup ih zuarmi: bootleg liçuor. ¡ a bootleg record, eg one recorded illegally at a concert. bootlegger /-legER/ n.",NA,NA,NA
6742,booty , n [U] ruk thil; ral hnen ihsin lonmi thil pawl.,NA,NA,NA
6750,booze , v (infml) 1 zu tampi dawk ciamco: He likes to go out boozing with his mates.,NA,NA,NA
6752,booze ," n [U] 1 zureu. 2 (idm) go/be on the""booze (infml) zu in ciamco ih um: Her husband’s been on the booze again.",NA,NA,NA
6753,boozer , n (infml) 1 zupham: He’s always been a bit of a boozer. 2 (Brit) zudawr.,NA,NA,NA
6760,boozy ," adj (-ier, -iest) (infml) zuri, zupham: a boozy old man ¡ a boozy party.",NA,NA,NA
6766,booze-up , n (Brit infml) zurit caan: The party was a real booze-up.,NA,NA,NA
6771,bop ," n 1 [U] = bebop. 2 [C, U] (infml) laam, disco laam: Let’s have a bop.",NA,NA,NA
6773,bop , v (-pp-) [I] (infml) laam: go bopping.,NA,NA,NA
6776,bopper , n (infml) 1 disco laamtu.  2 = teeny-bopper (teeny).,NA,NA,NA
6779,boracic , adj = boric.,NA,NA,NA
6782,borage ," n [U] pangpar phunkhat, a par mepian (a par le a hnah ei tha).",NA,NA,NA
6784,borax , n [U] letcha (Kawl); borax vut (thil kholh/sawpnak le thlalang le khokheng hnihmi hol tuahnak ah an hmang).,NA,NA,NA
6785,Bordeaux ," n (pl unchanged) [U, C] SW France ram Bordeaux pengih tuahmi a sen, lole, a rang vuaing zu. Cf claret.",NA,NA,NA
6787,border ," n 1 (a) [C] ramri kiang um ram: The terrorists escaped across/over the border. ¡ [attrib] a border town, guard, patrol ¡ border incidents, ie small fights between soldiers of two neighbouring countries. (b) the Border [sing] England le Scotland ramri kiang um ram (area); USA le Mexico ramri kiang um ram (area). 2 [C] a tlang; zuk retnak thlalang tlang: the border of a picture/photograph ¡ a handkerchief, tablecloth, etc with an embroidered border. 3 [C] pangpar le thingkung niamte cinnak hmuan: a herbaceous border ¡ a border of tulips.",NA,NA,NA
6791,border ," v 1 [Tn] a rii-aw: our garden is bordered on one side by a stream. ¡ How many countries border Switzerland? 2 [Tn, Tn•pr] ~ sth (with sth) a tlaang qelh: a handkerchief bordered with lace. 3 [Ipr] ~ on sth (a) peh aw, zawn aw: The new housing estate borders on the motorway. (b) (fig) vek/tluk a si, a bang aw ko: The boy’s reply to his teacher was bordering on rudeness. ¡ Our task borders on the impossible.",NA,NA,NA
6792,borderer ," n ramri kiang ih umtu, ramhnen.",NA,NA,NA
6794,borderland ," n 1 [C] ram pahnih ramri khat lam veve ih um hmun ram. 2 [sing] (fig) sidok, sidok lo; a laai: the borderland between sleeping and waking.",NA,NA,NA
6796,borderline ," n ram thentu ri, ramri: (fig) The borderline between informal language and slang is hard to define. — adj thu/thil pahnih karlak um thil: a borderline case ¡ a borderline candidate, ie sb who may or may not pass an examination, be suitable for a job, etc  ¡  a borderline pass/failure (in an examination).",NA,NA,NA
6797,bore1 ," v 1 [I, Ipr, Tn, Tn•pr] vit, kua vit: This drill can bore through rock. ¡ bore a hole in wood ¡ bore a tunnel through a mountain. 2 [Ipr, Ip, Tn•pr, Tn•p] kua vihmi leivawr hlon (vit phah in): The mole bored (its way) underground.",NA,NA,NA
6804,bore , n 1 (also borehole) khurkua. 2 a kua kauhlam (meithal kua): a twelve-bore shotgun ¡ small-bore guns.,NA,NA,NA
6806,bore2 , v 1 [Tn] ningter; khopter: I’ve heard all his stories before; they bore me/he bores me. ¡ I’m bored: let’s go to the cinema. ¡ I hope you’re not getting bored (by my conversation). 2 (idm) bore sb to death/tears ningtuk: Long novels bore me to tears. a crashing bore _ crash2.,NA,NA,NA
6813,bore ," n mi ningkhop, nin-um: Don’t be such a bore! ¡ We’ve run out of petrol. What a bore!",NA,NA,NA
6815,boredom , n [U] ninnak.,NA,NA,NA
6821,boring ," adj mi a ningmi; nin-umza, paih um lo: a boring conversation, job, book, party.",NA,NA,NA
6825,bore3 , n tikel fiak sungih ra lutmi tipi thang.,NA,NA,NA
6831,bore4 , pt of bear2.,NA,NA,NA
6834,boric , adj boron (sii) tel.,NA,NA,NA
6835,"boric acid (also boracic acid, /bE”raesIk/) ", hma khawlhnak borax thawn tuah mi sii.,NA,NA,NA
6836,born ," v (used only in the passive without by) 1 be born suak (nu ih pum sungin): She was born in 1950. ¡ (fig) The Trades Union movement was born (ie founded) in the early years of the century. ¡ He was born (ie destined from birth) to be a great writer. ð Usage at bear2. 2 (idm) (not) be born yesterday aa, ziang thei lo: You can’t fool me; I wasn’t born yesterday, you know. be/be born/be made that way _ way1. born and bred suak, thanglian le fimzir: He’s London born and bred. ¡ She was born and bred a Catholic. born in the purple bawi phun ah suak. born of sb/sth sung ihsin suak: He was born of German parents. ¡ Her socialist beliefs were born of a hatred of injustice. born on the wrong side of the blanket (euph) lakfa, fasawn. born with a silver spoon in one’s mouth (saying) milian fa; nu le pa milian. in all one’s born days (infml) nun sung hmuah: I’ve never heard such nonsense in all my born days! there’s one born every minute (saying) bum-ol tampi an um. to the manner born _ manner.",NA,NA,NA
6841,born ," adj [attrib] suahpi mi, suahkehpi mi thil ti theinak: be a born leader, loser, writer, athlete, etc.",NA,NA,NA
6850,born ," (forming compound ns and adjs) compound ns le adjs suahter tikih hman a si, suak tican thotho a si, eg New York suak: New York-born ¡ first-born ¡ nobly-born ¡ French-born.",NA,NA,NA
6854,born-again , adj [usu attrib] suak sal; piangthar mi; a thlengaw mi: a born-again Christian.,NA,NA,NA
6859,borne , pp of bear2. ð Usage at bear2. ,NA,NA,NA
6862,boron , n [U] (chemistry) bawron dat. ,NA,NA,NA
6866,borough ," n 1 (Brit) (a) mahte thutawlrel thei, khua, lole, distrik (Britain ram ah). (b) London khua uknak vengthen. Cf parish2. 2 (US) (a) New York khua uknak vengthen (5) lakih pakhat khat. (b) sipintayaye khua. ",NA,NA,NA
